graph,vertices,LpRoundAnnealing
exact_001.gr,8340,2080
exact_002.gr,8340,2071
exact_003.gr,8340,2074
exact_004.gr,8340,2078
exact_005.gr,8340,2063
exact_006.gr,8340,2063
exact_007.gr,8340,2083
exact_008.gr,8340,2069
exact_009.gr,8340,2075
exact_010.gr,8340,2072
exact_011.gr,6255,1559
exact_012.gr,6255,1557
exact_013.gr,8340,2069
exact_014.gr,6255,1555
exact_015.gr,6255,1553
exact_016.gr,6255,1559
exact_017.gr,1518,437
exact_018.gr,1716,498
exact_019.gr,1885,538
exact_020.gr,4312,1287
exact_021.gr,3910,1163
exact_022.gr,3053,906
exact_023.gr,4464,1332
exact_024.gr,8340,2073
exact_025.gr,5837,1771
exact_026.gr,4396,1308
exact_027.gr,8526,2576
exact_028.gr,16035,4942
exact_029.gr,13508,4186
exact_030.gr,19295,5903
exact_031.gr,7241,2176
exact_032.gr,19555,5947
exact_033.gr,19462,TIMEOUT
exact_034.gr,19555,5937
exact_035.gr,8340,2079
exact_036.gr,19638,6007
exact_037.gr,19925,6018
exact_038.gr,3570,305
exact_039.gr,74491,TIMEOUT
exact_040.gr,98361,TIMEOUT
exact_041.gr,4342,1309
exact_042.gr,13488,4147
exact_043.gr,4105,1232
exact_044.gr,16479,5076
exact_045.gr,8074,2445
exact_046.gr,8340,2085
exact_047.gr,8340,2076
exact_048.gr,8340,2069
exact_049.gr,8340,2076
exact_050.gr,8340,2086
exact_051.gr,3082,865
exact_052.gr,1594,446
exact_053.gr,8980,174
exact_054.gr,11339,194
exact_055.gr,27108,2386
exact_056.gr,5376,1544
exact_057.gr,519547,TIMEOUT
exact_058.gr,2671,755
exact_059.gr,4090,1201
exact_060.gr,14282,284
exact_061.gr,13066,195
exact_062.gr,50977,1684
exact_063.gr,675890,TIMEOUT
exact_064.gr,20897,1576
exact_065.gr,5874,1773
exact_066.gr,519477,TIMEOUT
exact_067.gr,3477,1001
exact_068.gr,2692,766
exact_069.gr,4271,1201
exact_070.gr,5516,1635
exact_071.gr,9464,2751
exact_072.gr,675952,TIMEOUT
exact_073.gr,6554,135
exact_074.gr,130026,TIMEOUT
exact_075.gr,519627,TIMEOUT
exact_076.gr,5581,1624
exact_077.gr,3861,1121
exact_078.gr,8511,173
exact_079.gr,8145,172
exact_080.gr,4192,1235
exact_081.gr,4534,1248
exact_082.gr,2764,801
exact_083.gr,6453,1899
exact_084.gr,675940,TIMEOUT
exact_085.gr,9568,193
exact_086.gr,47450,396
exact_087.gr,519378,TIMEOUT
exact_088.gr,519356,TIMEOUT
exact_089.gr,14458,288
exact_090.gr,13846,702
exact_091.gr,3760,1087
exact_092.gr,4416,1213
exact_093.gr,519375,TIMEOUT
exact_094.gr,4032,1187
exact_095.gr,17968,290
exact_096.gr,17188,289
exact_097.gr,519554,TIMEOUT
exact_098.gr,21619,1499
exact_099.gr,7511,157
exact_100.gr,49578,846
